epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,604.411,0.77702,0.62832,0.91474,0.79278,0.8175,0.78636,0.5566,1.02217,0.81463,1.03591,0.000990365,0.000990365,0.000990365
43,620.508,0.8118,0.63344,0.9466,0.82715,0.77406,0.81044,0.5952,0.94614,0.75419,0.97554,0.000973861,0.000973861,0.000973861
44,635.998,0.76952,0.62217,0.93391,0.74136,0.80348,0.79003,0.57381,0.92535,0.74755,0.97628,0.000957358,0.000957358,0.000957358
45,652.91,0.81435,0.64471,0.95424,0.79748,0.75891,0.79644,0.58677,0.88337,0.77155,0.96187,0.000940855,0.000940855,0.000940855
46,668.127,0.74801,0.60427,0.90862,0.82297,0.72906,0.81745,0.59976,0.90175,0.75032,0.96746,0.000924352,0.000924352,0.000924352
47,683.128,0.7648,0.60051,0.91763,0.82085,0.77451,0.80367,0.5604,0.93902,0.80585,0.99077,0.000907848,0.000907848,0.000907848
48,698.426,0.78011,0.60072,0.91154,0.83962,0.72711,0.81354,0.59901,0.87117,0.73155,0.95312,0.000891345,0.000891345,0.000891345
49,714.431,0.76107,0.5978,0.90551,0.73687,0.81907,0.80641,0.58691,0.95138,0.73302,0.98228,0.000874842,0.000874842,0.000874842
50,730.728,0.73119,0.57144,0.92125,0.79505,0.6836,0.7681,0.54041,0.93363,0.81498,0.99212,0.000858338,0.000858338,0.000858338
51,746.502,0.75627,0.59805,0.91573,0.81439,0.6836,0.7654,0.57679,0.89131,0.82744,0.96771,0.000841835,0.000841835,0.000841835
52,763.395,0.76772,0.57815,0.92981,0.82218,0.6836,0.74482,0.54507,0.92653,0.90944,0.97616,0.000825332,0.000825332,0.000825332
53,778.721,0.73205,0.58094,0.91951,0.76967,0.7142,0.7772,0.57032,0.91438,0.80333,0.98118,0.000808828,0.000808828,0.000808828
54,793.081,0.72718,0.54496,0.89334,0.70087,0.81598,0.78617,0.57467,0.92589,0.75182,0.99863,0.000792325,0.000792325,0.000792325
55,807.698,0.7635,0.59471,0.90362,0.8044,0.74421,0.80871,0.58064,0.92024,0.77471,0.984,0.000775822,0.000775822,0.000775822
56,823.374,0.73745,0.5463,0.89031,0.83837,0.74401,0.81012,0.57797,0.93983,0.78388,0.98937,0.000759318,0.000759318,0.000759318
